NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,1,0,0,1,1,1,7,0,15
BEAUFONT,0,1,0,15,16,1,8,3,43
BELLE AND MAYO ISLANDS,0,0,1,11,0,6,19,1,114
BELLEMEADE,1,1,6,100,62,52,92,13,270
BELLEVUE,0,1,1,10,24,6,68,1,63
BELMONT WOODS,0,0,0,0,2,1,4,0,9
BELT CENTER,1,0,4,30,9,16,145,10,195
BIOTECH AND MCV DISTRICT,0,0,0,10,0,15,20,2,125
BLACKWELL,2,0,18,103,41,38,81,29,284
BRAUERS,0,0,1,21,6,10,22,2,57
BRITISH CAMP FARMS,0,0,2,38,8,8,49,3,117
BROAD ROCK,1,3,5,61,18,40,46,13,169
BROAD ROCK INDUSTRIAL PARK,0,0,1,0,2,10,6,3,35
BROAD ROCK SPORTS COMPLEX,0,0,2,1,0,2,1,0,12
BROOKBURY,0,0,0,3,0,2,1,1,16
BROOKHAVEN FARMS,0,0,1,10,14,5,12,1,43
BROOKLAND PARK,1,2,11,64,12,63,43,3,227
BRYAN PARK,0,0,1,0,0,0,5,0,5
BYRD PARK,0,1,0,12,8,12,27,5,76
CAPITOL DISTRICT,0,0,1,12,1,8,32,0,129
CARILLON,0,0,0,3,0,1,19,1,34
CARVER,0,1,19,28,20,15,185,11,318
CARYTOWN,0,1,9,29,5,14,89,6,224
CEDARHURST,0,1,4,28,19,2,36,5,91
CENTRAL OFFICE,0,0,2,8,0,0,18,1,71
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,2,26,6,15,43,7,176
CHERRY GARDENS,0,0,0,0,0,0,0,1,9
CHIMBORAZO,0,0,3,22,7,13,28,5,85
CHIPPENHAM FOREST,0,1,4,42,8,6,100,7,100
CHURCH HILL,0,1,8,28,10,8,72,9,194
CHURCH HILL NORTH,2,0,8,69,17,17,81,18,221
CITY CENTER,0,2,14,65,5,44,136,9,380
COFER,1,0,3,16,8,3,15,3,42
COLONIAL PLACE,0,0,0,2,30,0,19,1,38
COMMERCE ROAD INDUSTRIAL AREA,0,0,1,6,2,9,22,4,55
COTTRELL FARMS,0,0,1,8,4,3,8,4,34
COUNTRY CLUB OF VIRGINIA,0,0,0,1,0,0,4,0,7
CREIGHTON,1,2,2,104,17,72,29,8,221
CULLENWOOD,0,0,1,8,5,0,7,1,17
DAVEE GARDENS,0,0,1,9,8,0,15,4,40
DEERBOURNE,0,0,0,10,2,2,10,1,22
EASTVIEW,0,0,3,7,2,10,20,6,52
EDGEWOOD,0,0,0,12,12,21,16,5,64
ELKHARDT,0,1,9,38,17,9,45,5,120
FAIRFIELD,0,1,10,88,17,65,40,6,242
FAIRMOUNT,0,1,9,60,10,31,72,17,198
FAWNBROOK,0,0,0,4,2,0,1,2,16
FOREST HILL,0,1,1,1,9,2,26,2,38
FOREST HILL PARK,0,0,0,0,0,0,4,0,3
FOREST HILL TERRACE,0,1,1,7,16,2,22,2,35
FOREST VIEW,0,3,0,10,10,3,26,2,53
FULTON,1,2,13,82,48,14,98,18,294
GAMBLES HILL,0,0,1,2,1,1,8,0,19
GILPIN,2,5,15,260,32,212,94,13,804
GINTER PARK,1,0,10,126,36,74,96,24,461
GINTER PARK TERRACE,1,0,0,4,1,7,4,1,35
GRAVEL HILL,0,0,1,4,7,0,46,3,65
GREEN PARK,0,0,2,15,16,3,13,7,37
HICKORY HILL,0,1,2,32,9,10,23,4,94
HIGHLAND PARK SOUTHERN TIP,0,2,7,68,47,50,51,10,200
HIGHLAND TERRACE,0,1,5,29,10,26,21,11,95
HILLSIDE COURT,2,1,9,85,25,57,42,14,240
HIOAKS,0,1,5,64,7,8,38,5,142
HOLLYWOOD CEMETERY,0,0,0,1,2,1,10,0,8
HUGUENOT,0,0,0,8,8,0,9,0,58
JACKSON WARD,1,3,27,56,29,85,190,17,480
JAHNKE,0,1,4,93,33,7,89,13,161
JEFF DAVIS,2,5,17,138,49,87,135,16,483
JOHN MARSHALL,3,0,5,64,10,28,37,9,148
LABURNUM PARK,0,0,0,0,3,0,10,2,18
MAGNOLIA INDUSTRIAL CENTER,0,0,0,2,2,2,7,1,19
MALVERN GARDENS,0,0,1,5,28,2,18,0,37
MANCHESTER,0,2,5,18,12,6,41,5,74
MARY MUNFORD,0,0,0,2,6,0,20,1,26
MAURY,0,0,0,6,4,17,16,1,45
MAYMONT,0,0,0,14,9,1,16,2,52
MAYMONT PARK,0,0,0,0,0,0,1,0,8
MCGUIRE,0,0,5,32,12,8,29,9,112
MCGUIRE MANOR,0,1,6,37,9,13,24,5,159
MCGUIRE VETERANS HOSPITAL,1,0,2,11,2,3,13,2,18
MIDLOTHIAN,1,4,13,99,43,66,123,23,353
MONROE WARD,0,3,6,61,16,49,162,16,513
MONUMENT AVENUE PARK,0,0,2,5,6,1,9,0,68
MOSBY,0,1,11,132,19,53,53,8,307
MUSEUMS,0,0,3,21,2,8,56,1,98
NEWTOWNE WEST,0,0,1,13,3,5,17,3,111
NORTH HIGHLAND PARK,0,1,14,109,68,74,49,17,263
NORTHERN BARTON HEIGHTS,0,1,13,102,51,61,96,13,368
NORTHROP,1,1,9,52,25,23,49,13,145
OAK GROVE,2,3,9,80,71,33,65,13,266
OAKWOOD,1,1,2,22,5,3,15,3,64
OAKWOOD CEMETERY,0,0,0,0,0,1,0,0,3
OLD TOWN MANCHESTER,1,1,8,29,11,14,74,16,155
OREGON HILL,0,1,0,26,3,1,41,6,123
OXFORD,0,0,1,12,9,1,36,2,61
PARNELL INDUSTRIAL AREA,0,0,0,2,0,2,15,2,15
PETER PAUL,0,0,5,18,3,18,23,5,69
PINE CAMP,0,0,2,4,0,5,3,0,6
PINEY KNOLLS,0,4,12,70,28,15,46,12,212
POCOSHOCK,0,2,0,8,8,0,12,1,37
POWHITE PARK,0,0,0,2,0,0,0,0,2
PROVIDENCE PARK,0,2,9,50,22,16,33,7,131
RANDOLPH,0,3,5,48,51,21,49,9,176
REEDY CREEK,0,2,4,25,28,7,36,17,102
ROSEDALE,0,0,0,4,8,0,12,2,45
SAUER'S GARDENS,0,0,0,11,22,8,17,2,72
SCOTT'S ADDITION,0,0,2,24,12,16,56,7,163
SHERWOOD PARK,0,0,2,1,4,4,11,0,18
SHOCKOE BOTTOM,0,1,14,66,8,24,165,17,406
SHOCKOE SLIP,0,3,5,59,2,6,57,7,263
SOUTH GARDEN,0,2,10,51,14,14,33,12,141
SOUTHAMPTON,0,0,0,4,2,1,3,0,10
SOUTHERN BARTON HEIGHTS,0,0,2,23,9,13,20,5,79
SOUTHWOOD,2,4,21,78,22,5,33,11,214
STADIUM,0,0,0,7,2,4,6,0,18
STONEWALL COURT,0,0,0,0,2,0,5,0,10
STONY POINT,0,0,1,2,1,0,40,1,27
STRATFORD HILLS,0,0,4,13,6,6,32,3,56
SWANSBORO,1,0,13,55,12,51,112,29,307
SWANSBORO WEST,3,2,14,93,47,29,76,24,252
SWANSON,0,1,4,33,22,8,57,8,135
THE DIAMOND,0,0,2,22,3,7,50,6,134
THE FAN,0,4,24,149,108,54,453,33,1045
THE MUSEUM DISTRICT,0,1,6,41,20,11,135,28,346
THREE CHOPT,0,0,0,6,21,0,33,3,73
UNION HILL,0,2,12,40,12,26,56,14,195
UPPER SHOCKOE VALLEY,0,0,3,9,3,26,53,5,190
VCU,0,1,6,17,2,12,70,4,217
VIRGINIA UNION,0,0,7,34,25,29,62,3,173
WALMSLEY,2,2,5,33,16,5,24,3,65
WARWICK,0,0,0,10,8,1,5,2,40
WASHINGTON PARK,0,1,2,32,6,9,21,4,95
WESTHAMPTON,0,0,2,4,9,0,23,1,46
WESTLAKE HILLS,0,0,0,6,4,1,9,0,12
WESTOVER,0,2,5,47,33,2,43,11,112
WESTOVER HILLS,0,0,0,1,3,0,15,0,19
WESTOVER HILLS WEST,0,0,0,1,0,0,3,0,10
WHITCOMB,3,2,13,111,39,62,60,18,358
WILLOW LAWN,0,0,0,2,11,0,8,1,19
WILLOW OAKS,0,1,0,0,3,1,7,0,13
WILTON,0,0,0,1,0,0,4,0,2
WINDSOR,1,0,1,17,5,6,8,3,49
WINDSOR FARMS,0,0,0,0,5,1,9,1,18
WOODHAVEN,1,0,3,30,11,4,34,8,96
WOODLAND HEIGHTS,0,0,2,22,17,0,58,12,113
WOODVILLE,1,1,0,12,4,20,10,1,46
WORTHINGTON,0,1,1,24,9,4,18,6,31
